OBJECTID,LAYER_ID,LAYER_SEGMENT_ID,SHORT_NAME,LAYER_CODE,HPMS_DATA_ITEM,ROUTE_DIR_ID,ROUTE_NAME,START_ACCUM,END_ACCUM,URBAN_CODE,URBAN_DESC,ERR_CD
195762242,14,6929595,Urban Code,URBAN-CODE,Urban_Code,1980,3100,43.213,46.214,99998,Small Urban,0
195762243,14,6929603,Urban Code,URBAN-CODE,Urban_Code,1980,3100,0,43.213,99999,Rurall,0
195762245,14,6917858,Urban Code,URBAN-CODE,Urban_Code,6931,1199,0,0.515,50959,Logan,0
195762247,14,6917948,Urban Code,URBAN-CODE,Urban_Code,6937,1203,0,2.312,50959,Logan,0
195762248,14,6920938,Urban Code,URBAN-CODE,Urban_Code,6929,1113,0,1.98,99998,Small Urban,0
195762249,14,6920939,Urban Code,URBAN-CODE,Urban_Code,6927,1119,1.628,2.95,99999,Rurall,0
195762250,14,6920940,Urban Code,URBAN-CODE,Urban_Code,5926,1135,0,8.086,99999,Rurall,0
195762251,14,6920941,Urban Code,URBAN-CODE,Urban_Code,2211,1168,0,15.932,99999,Rurall,0
195762286,14,6928066,Urban Code,URBAN-CODE,Urban_Code,2385,2630,0,4.232,99999,Rurall,0
195762287,14,6928095,Urban Code,URBAN-CODE,Urban_Code,6984,2633,0,1.174,99998,Small Urban,0
195762288,14,6923471,Urban Code,URBAN-CODE,Urban_Code,1603,1098,0,1.639,64945,Ogden - Layton,0
195762289,14,6923432,Urban Code,URBAN-CODE,Urban_Code,2499,1066,0,3.017,99999,Rurall,0
195762382,14,6924709,Urban Code,URBAN-CODE,Urban_Code,1692,1544,0,8.843,99999,Rurall,0
195762252,14,6920942,Urban Code,URBAN-CODE,Urban_Code,2213,1180,0,2.454,50959,Logan,0
195762253,14,6920943,Urban Code,URBAN-CODE,Urban_Code,2213,1180,2.454,3.058,99999,Rurall,0
195762351,14,6928119,Urban Code,URBAN-CODE,Urban_Code,6987,2636,0,2.753,99998,Small Urban,0
195762352,14,6928127,Urban Code,URBAN-CODE,Urban_Code,6989,2637,0,0.37,99998,Small Urban,0
195762353,14,6928135,Urban Code,URBAN-CODE,Urban_Code,6988,2638,0,3.262,99998,Small Urban,0
195762354,14,6928163,Urban Code,URBAN-CODE,Urban_Code,2386,2640,0,37.416,99999,Rurall,0
195762383,14,6921062,Urban Code,URBAN-CODE,Urban_Code,2250,3152,0,3.834,77446,St. George,0
195762384,14,6921063,Urban Code,URBAN-CODE,Urban_Code,5608,3153,0,3.715,77446,St. George,0
195762385,14,6921064,Urban Code,URBAN-CODE,Urban_Code,5620,3157,0,2.577,77446,St. George,0
195762386,14,6921065,Urban Code,URBAN-CODE,Urban_Code,1998,3190,0,12.26,77446,St. George,0
195762387,14,6921066,Urban Code,URBAN-CODE,Urban_Code,2257,3208,0,22.226,99999,Rurall,0
195762388,14,6919765,Urban Code,URBAN-CODE,Urban_Code,6890,3236,0,0.264,77446,St. George,0
195762139,14,6919149,Urban Code,URBAN-CODE,Urban_Code,6873,3211,0,1.757,77446,St. George,0
195762140,14,6919105,Urban Code,URBAN-CODE,Urban_Code,6872,3205,0,2.647,77446,St. George,0
195762355,14,6924576,Urban Code,URBAN-CODE,Urban_Code,6640,1533,19.5,21.695,99999,Rurall,0
195762150,14,6921022,Urban Code,URBAN-CODE,Urban_Code,6950,2457,0,7.125,99999,Rurall,0
195762151,14,6921023,Urban Code,URBAN-CODE,Urban_Code,6949,2459,0,10.465,99999,Rurall,0
195762244,14,6923879,Urban Code,URBAN-CODE,Urban_Code,268,1232,0,6.467,50959,Logan,0
195762364,14,6918393,Urban Code,URBAN-CODE,Urban_Code,6858,3149,0,2.59,77446,St. George,0
195762175,14,6920925,Urban Code,URBAN-CODE,Urban_Code,6516,0007,0,10.739,77446,St. George,0
195762389,14,6919809,Urban Code,URBAN-CODE,Urban_Code,6891,3237,0,3.163,77446,St. George,0
195762152,14,6921024,Urban Code,URBAN-CODE,Urban_Code,2359,2460,0,4.897,99999,Rurall,0
195762153,14,6921025,Urban Code,URBAN-CODE,Urban_Code,6034,2490,0,13.014,99999,Rurall,0
195762154,14,6921026,Urban Code,URBAN-CODE,Urban_Code,6036,2494,0,28.875,99999,Rurall,0
195762155,14,6921027,Urban Code,URBAN-CODE,Urban_Code,6037,2495,0,28.236,99999,Rurall,0
195762156,14,6921028,Urban Code,URBAN-CODE,Urban_Code,6042,2512,0,13.229,99999,Rurall,0
195762157,14,6921029,Urban Code,URBAN-CODE,Urban_Code,6048,2540,0,6.181,99999,Rurall,0
195762254,14,6920944,Urban Code,URBAN-CODE,Urban_Code,6933,1185,0.379,1.03,99999,Rurall,0
195762255,14,6930424,Urban Code,URBAN-CODE,Urban_Code,2012,3344,2.958,2.999,64945,Ogden - Layton,0
195762256,14,6925067,Urban Code,URBAN-CODE,Urban_Code,2561,1585,0,5.178,99999,Rurall,0
195762257,14,6920945,Urban Code,URBAN-CODE,Urban_Code,2506,1194,0,0.095,50959,Logan,0
195762258,14,6927990,Urban Code,URBAN-CODE,Urban_Code,6980,2625,0,0.738,99998,Small Urban,0
195762259,14,6928026,Urban Code,URBAN-CODE,Urban_Code,2384,2628,0,7.441,99999,Rurall,0
195762356,14,6924608,Urban Code,URBAN-CODE,Urban_Code,2288,1534,30.17,33.467,99999,Rurall,0
195762357,14,6924640,Urban Code,URBAN-CODE,Urban_Code,2339,1536,0,9.322,99999,Rurall,0
