OBJECTID,Label,Route,Direction,Type_,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,RteDirID,Shape_Length
503,0147P,0147,P,M,,,11.136,13.688,35,339,5346.13885543744
504,0089P,0089,P,M,,,344.717,346.939,45,1384,4651.4270430747
505,0101P,0101,P,M,,,3.498,4.448,40,1391,2049.67009521765
506,0256P,0256,P,M,,,2.824,5.595,55,360,5769.97089570671
507,0040P,0040,P,M,,,143.012,143.676,35,310,1420.35307451332
508,0134P,0134,P,M,,,9.931,12.577,45,1412,5671.50326761759
509,0147P,0147,P,M,,,0,5.65,50,339,11874.8037346278
510,0089P,0089,P,M,,,157.278,157.475,50,1384,406.03155838862
511,0056P,0056,P,M,,,25.68,31.374,65,314,11574.2654567338
512,0130P,0130,P,M,,,10.526,42.201,65,1410,64155.1383096784
513,0175P,0175,P,M,,,0.473,4.86,45,6715,9341.7697064452
514,0032P,0032,P,M,,,11.033,11.933,45,1345,1915.23383790859
515,0016P,0016,P,M,,,20.227,20.541,40,1334,671.949962929089
516,0117P,0117,P,M,,,11.504,12.192,45,331,1441.36379679555
517,0010P,0010,P,M,,,39.109,46.319,65,1327,15024.5951735599
